STATEFP,COUNTYFP,GEOID,city_x,ALAND,AWATER,SNI_raw,SNI_Score,point_count_311,311_score_raw,311_score_log,311_score_sqrt,311_score_yj,ES_raw,ES_log,ES_sqrt,ES_yj,Raw_status,Log_status,SQRT_status,YJ_status,Raw_score,Log_score,SQRT_score,YJ_score,TRACTCE_y,NAME_y,population,median_hh_income,median_home_value,median_gross_rent,median_year_built,land_area_sqmi,pop_density_sqmi,pct_indv_poverty,unemployment_rate,pct_vacant,pct_renter,pct_no_vehicle,pct_no_internet,pct_smartphone_only,pct_limited_english_pop,pct_foreign_born,pct_under_18,pct_65_plus,pct_bachelors_plus,pct_non_white,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,pct_other_nh,pct_two_plus_nh
6,37,06037102107,los_angeles,12908558,13753,40.43652734,25.0203197,4888.0,14.66,69.36,35.67,32.62,-10.3603197,44.3396803,10.6496803,7.599680303,negative,positive,positive,positive,1.0,0.0,0.0,0.0,102107,1021.07,3699.0,106218.0,1000000.0,2526.0,1963,4.984023652525571,742.17,0.138,0.102863,0.069731,0.214651,0.045145,0.05707,0.051107,0.128,0.337118,0.178,0.231,0.336,0.352528,0.647472,0.004866,0.264125,0.040822,0.006218,0.0,0.0,0.036496
6,37,06037103101,los_angeles,2029806,0,24.00642798,2.235166622,4012.0,12.0,66.19,31.89,28.91,9.764833378,63.95483338,29.65483338,26.67483338,positive,positive,positive,positive,0.0,0.0,0.0,0.0,103101,1031.01,2876.0,112083.0,872200.0,2175.0,1957,0.7837124781240792,3669.71,0.052,0.0882,0.038729,0.137397,0.019628,0.006198,0.081612,0.137,0.294159,0.194,0.192,0.331,0.418985,0.581015,0.000695,0.293463,0.082058,0.0,0.0,0.00452,0.038248
6,37,06037103102,los_angeles,1241029,0,47.37709022,43.53833649,7044.0,21.22,75.23,43.75,40.67,-22.31833649,31.69166351,0.211663506,-2.868336494,negative,positive,positive,negative,1.0,0.0,0.0,1.0,103102,1031.02,4475.0,73642.0,675200.0,1806.0,1958,0.4791639757759351,9339.18,0.134,0.107326,0.065878,0.324292,0.095841,0.054852,0.122966,0.301,0.441341,0.166,0.241,0.202,0.312179,0.687821,0.017207,0.182346,0.077542,0.0,0.0,0.0,0.035084
6,37,06037103201,los_angeles,1954789,0,43.98525155,34.13709022,4938.0,14.82,69.53,35.88,32.83,-19.31709022,35.39290978,1.742909781,-1.307090219,negative,positive,positive,negative,1.0,0.0,0.0,1.0,103201,1032.01,4275.0,69347.0,845400.0,1694.0,1962,0.754748252492943,5664.14,0.094,0.071362,0.062681,0.665635,0.115789,0.040248,0.071827,0.232,0.355322,0.138,0.206,0.247,0.556725,0.443275,0.029474,0.418947,0.093801,0.0,0.001404,0.0,0.013099
6,37,06037103202,los_angeles,4738407,0,35.10778407,14.30506638,2732.0,8.11,60.02,25.51,22.74,-6.195066378,45.71493362,11.20493362,8.434933622,negative,positive,positive,positive,1.0,0.0,0.0,0.0,103202,1032.02,2146.0,122560.0,884600.0,,1963,1.829509170989978,1172.99,0.035,0.033107,0.0,0.08542,0.007364,0.051546,0.0,0.044,0.100652,0.188,0.235,0.362,0.50699,0.49301,0.030755,0.254893,0.017241,0.0,0.0,0.183597,0.020503
6,37,06037103300,los_angeles,6141955,0,39.54532392,23.20509347,4179.0,12.51,66.85,32.64,29.64,-10.69509347,43.64490653,9.434906529,6.434906529,negative,positive,positive,positive,1.0,0.0,0.0,0.0,103300,1033.0,3781.0,120134.0,1237800.0,2094.0,1962,2.3714220834782136,1594.4,0.074,0.086327,0.107167,0.172783,0.017584,0.017584,0.004587,0.078,0.228246,0.217,0.207,0.375,0.312351,0.687649,0.020894,0.151812,0.067971,0.000793,0.0,0.002645,0.068236
6,37,06037103401,los_angeles,1401638,0,38.78575885,21.49823896,2799.0,8.31,60.41,25.87,23.09,-13.18823896,38.91176104,4.37176104,1.59176104,negative,positive,positive,positive,1.0,0.0,0.0,0.0,103401,1034.01,2522.0,101628.0,856700.0,2203.0,1963,0.5411754573653236,4660.23,0.098,0.075694,0.10445,0.274848,0.017241,0.032454,0.027383,0.2,0.331086,0.203,0.235,0.429,0.344171,0.655829,0.002776,0.179619,0.113006,0.005551,0.0,0.0,0.04322
6,37,06037103402,los_angeles,1099115,0,44.34156993,35.27499323,5753.0,17.29,71.98,39.09,36.01,-17.98499323,36.70500677,3.815006773,0.735006773,negative,positive,positive,positive,1.0,0.0,0.0,0.0,103402,1034.02,3626.0,100059.0,778900.0,1479.0,1956,0.4243706740414341,8544.42,0.101,0.020103,0.133039,0.341091,0.086545,0.036364,0.075636,0.131,0.276338,0.166,0.247,0.333,0.342526,0.657474,0.057915,0.191947,0.046608,0.0,0.0,0.021236,0.024821
6,37,06037104103,los_angeles,949109,0,33.78872928,12.00216743,4340.0,13.0,67.45,33.35,30.34,0.997832566,55.44783257,21.34783257,18.33783257,positive,positive,positive,positive,0.0,0.0,0.0,0.0,104103,1041.03,4063.0,96607.0,728300.0,2568.0,1965,0.3664530336396023,11087.37,0.125,0.11509,0.04638,0.185053,0.0,0.00949,0.145907,0.243,0.426532,0.2,0.172,0.178,0.91681,0.08319,0.10854,0.71622,0.054393,0.0,0.0,0.012798,0.024858
6,37,06037104105,los_angeles,584682,0,41.18421498,26.97101057,4216.0,12.62,66.99,32.8,29.8,-14.35101057,40.01898943,5.828989434,2.828989434,negative,positive,positive,positive,1.0,0.0,0.0,0.0,104105,1041.05,5766.0,60507.0,461700.0,1369.0,1982,0.2257469822902005,25541.87,0.214,0.080392,0.010563,0.504152,0.087782,0.103796,0.145314,0.297,0.357614,0.27,0.145,0.167,0.949185,0.050815,0.074055,0.8094,0.019251,0.001561,0.0,0.0,0.044918
