GEOID,City,SR_point_count,311_SRI_score,SNI_score,ES_score
48453002422,austin,1760,53.38,76.90327824,-23.52327824
48453002423,austin,1433,48.04,15.71389867,32.32610133
48453002424,austin,1029,40.51,55.60823625,-15.09823625
48453002430,austin,490,27.55,0.948252506,26.60174749
48453002437,austin,1159,43.07,83.25657004,-40.18657004
48453002438,austin,1485,48.93,22.10782986,26.82217014
48453002439,austin,990,39.71,0.731509076,38.97849092
48453002441,austin,1134,42.59,42.5088052,0.081194798
48453002442,austin,1035,40.63,0.487672717,40.14232728
48453002443,austin,452,26.41,65.80872392,-39.39872392
48453002444,austin,1595,50.75,53.38661609,-2.636616093
48453002446,austin,635,31.54,17.50203197,14.03796803
48453002447,austin,1113,42.18,92.42752642,-50.24752642
48453002448,austin,2067,57.96,73.73340558,-15.77340558
48453002451,austin,1028,40.49,37.93010024,2.559899756
48453002452,austin,242,18.97,16.7298835,2.2401165
48453002500,austin,944,38.75,69.52045516,-30.77045516
48453030000,austin,1421,47.83,43.57897589,4.251024113
48453030100,austin,1113,42.18,44.71687889,-2.536878895
48453030200,austin,1239,44.58,88.89189921,-44.31189921
48453030300,austin,1420,47.82,81.73936603,-33.91936603
48453030400,austin,1767,53.49,49.52587375,3.964126253
48453030500,austin,1364,46.84,36.08778109,10.75221891
48453030600,austin,1275,45.24,83.39203468,-38.15203468
48453030700,austin,1702,52.47,12.16472501,40.30527499
48453030800,austin,414,25.22,81.12977513,-55.90977513
48453030900,austin,2478,63.58,52.9666757,10.6133243
48453031000,austin,1511,49.37,16.96017339,32.40982661
48453031200,austin,1657,51.76,49.78325657,1.97674343
48453031300,austin,794,35.43,27.10647521,8.32352479
48453031600,austin,622,31.21,79.49065294,-48.28065294
48453031700,austin,1162,43.13,26.59170956,16.53829044
48453031800,austin,1751,53.24,56.0823625,-2.842362503
48453031900,austin,1623,51.21,46.07152533,5.138474668
48453032000,austin,713,33.5,73.8417773,-40.3417773
48453032200,austin,759,34.61,23.63858033,10.97141967
48453032300,austin,521,28.45,84.58412354,-56.13412354
48453032400,austin,201,17.18,95.0555405,-77.8755405
48453032500,austin,1046,40.85,89.21701436,-48.36701436
48453032600,austin,1355,46.68,15.44296938,31.23703062
48453032700,austin,1208,44,24.62747223,19.37252777
48453032800,austin,465,26.8,21.62015714,5.179842861
48453032900,austin,391,24.47,31.87483067,-7.404830669
48453033000,austin,1187,43.61,49.74261718,-6.132617177
48453033300,austin,1202,43.89,11.33839068,32.55160932
48453033400,austin,789,35.31,35.0176104,0.292389596
48453033500,austin,1210,44.04,19.84557031,24.19442969
48453033700,austin,625,31.28,3.698184774,27.58181523
48453033800,austin,889,37.56,3.156326199,34.4036738
48453034100,austin,246,19.14,52.50609591,-33.36609591
48453034200,austin,517,28.33,50.25738282,-21.92738282
48453034300,austin,945,38.77,5.879165538,32.89083446
48453034400,austin,255,19.51,23.25927933,-3.749279328
48453034500,austin,310,21.65,0.43348686,21.21651314
48453034600,austin,377,24.01,23.21863993,0.791360065
48453034700,austin,1256,44.89,39.08154972,5.808450284
48453034800,austin,1167,43.23,51.05662422,-7.826624221
48453035000,austin,70,9.6,22.78515308,-13.18515308
48453035100,austin,5,1.61,3.318883771,-1.708883771
48453036700,austin,1635,51.4,13.03169873,38.36830127
48453036800,austin,871,37.17,25.67054999,11.49945001
48453037200,austin,1453,48.38,10.36304525,38.01695475
48453040000,austin,1340,46.41,85.89813059,-39.48813059
48453040100,austin,1135,42.61,71.41696017,-28.80696017
48453040200,austin,504,27.96,46.17989705,-18.21989705
48453040300,austin,839,36.45,76.13112978,-39.68112978
48453040400,austin,1391,47.31,96.99268491,-49.68268491
48453040500,austin,1459,48.49,96.59983744,-48.10983744
48453040600,austin,635,31.54,30.26280141,1.277198591
48453040700,austin,1169,43.26,85.07179626,-41.81179626
48453040800,austin,1717,52.71,76.36141967,-23.65141967
48453040900,austin,1935,56.04,60.74234625,-4.702346248
48453041000,austin,1224,44.3,80.64210241,-36.34210241
48453041100,austin,450,26.35,29.34164183,-2.991641831
48453041200,austin,443,26.13,50.16255757,-24.03255757
48453041300,austin,1062,41.17,55.33730696,-14.16730696
48453041400,austin,568,29.76,54.06393931,-24.30393931
48453041500,austin,763,34.7,29.43646708,5.263532918
48453041600,austin,1834,54.52,68.57220266,-14.05220266
48453041700,austin,583,30.17,12.38146844,17.78853156
48453041800,austin,947,38.81,13.84448659,24.96551341
48453041900,austin,805,35.68,45.15036575,-9.470365755
48453042000,austin,786,35.24,39.51503658,-4.275036575
48453042100,austin,1172,43.32,74.42427526,-31.10427526
48453042200,austin,1120,42.32,86.33161745,-44.01161745
48453043000,austin,14,3.57,59.15740992,-55.58740992
48453043100,austin,625,31.28,41.05933351,-9.779333514
48453043200,austin,582,30.14,52.85830398,-22.71830398
48453043300,austin,850,36.7,23.69276619,13.00723381
48453043400,austin,575,29.95,69.99458141,-40.04458141
48453043500,austin,1833,54.5,28.35274993,26.14725007
48453043600,austin,376,23.97,72.32457329,-48.35457329
48453043700,austin,272,20.19,9.089677594,11.10032241
48453043800,austin,848,36.65,3.914928204,32.7350718
48453043900,austin,1444,48.23,82.60633975,-34.37633975
48453044000,austin,429,25.69,76.02275806,-50.33275806
48453044200,austin,282,20.59,62.27309672,-41.68309672
48453045000,austin,572,29.87,4.456786779,25.41321322
48453045100,austin,314,21.79,57.77567055,-35.98567055
48453045200,austin,910,38.02,10.06502303,27.95497697
48453045300,austin,302,21.35,90.49038201,-69.14038201
48453045400,austin,684,32.79,97.38553238,-64.59553238
48453980000,austin,48,7.73,75.60281766,-67.87281766
48491020311,austin,1092,41.77,91.77729613,-50.00729613
48491020403,austin,162,15.29,69.33080466,-54.04080466
48491020404,austin,163,15.34,22.14846925,-6.80846925
48491020405,austin,827,36.18,78.24437822,-42.06437822
48491020406,austin,1093,41.79,79.07071254,-37.28071254
48491020408,austin,460,26.65,87.80818206,-61.15818206
48491020409,austin,451,26.38,31.76645895,-5.386458954
48491020410,austin,701,33.21,61.20292604,-27.99292604
48491020411,austin,87,10.85,43.51124357,-32.66124357
48491020508,austin,631,31.44,79.77512869,-48.33512869
48491020509,austin,516,28.31,2.81766459,25.49233541
48491020513,austin,1,0,22.28393389,-22.28393389
48491020516,austin,681,32.71,36.10132755,-3.391327554
24510010100,baltimore,3585,49.36,74.11270658,-24.75270658
24510010200,baltimore,3706,50.44,44.20211325,6.237886752
24510010300,baltimore,3342,47.13,26.21240856,20.91759144
24510010400,baltimore,2786,41.7,72.46003793,-30.76003793
24510010500,baltimore,2096,34.13,45.38065565,-11.25065565
24510020100,baltimore,2741,41.23,54.9444595,-13.7144595
24510020200,baltimore,3060,44.43,79.45001355,-35.02001355
24510020300,baltimore,4005,53.04,72.37875914,-19.33875914
24510030100,baltimore,2645,40.23,95.19100515,-54.96100515
24510030200,baltimore,1982,32.77,93.53833649,-60.76833649
24510040100,baltimore,8195,82.46,99.79680303,-17.33680303
24510040200,baltimore,647,12.16,93.98536982,-81.82536982
24510060100,baltimore,5860,67.37,39.93497697,27.43502303
24510060200,baltimore,8960,86.92,66.17447846,20.74552154
24510060300,baltimore,4294,55.46,49.18721214,6.272787862
24510060400,baltimore,2570,39.44,90.26009212,-50.82009212
24510070100,baltimore,5919,67.78,49.53942021,18.24057979
24510070200,baltimore,9033,87.34,75.50799241,11.83200759
24510070300,baltimore,4376,56.13,84.15063668,-28.02063668
24510070400,baltimore,1438,25.64,82.8501761,-57.2101761
24510080101,baltimore,5981,68.22,70.25196424,-2.031964237
24510080102,baltimore,4938,60.58,81.38715795,-20.80715795
24510080200,baltimore,6195,69.7,72.41939854,-2.719398537
24510080301,baltimore,5112,61.91,55.52695746,6.383042536
24510080302,baltimore,3643,49.88,59.18450284,-9.304502845
24510080400,baltimore,3171,45.51,49.4310485,-3.921048496
24510080500,baltimore,3411,47.77,81.96965592,-34.19965592
24510080600,baltimore,6210,69.8,44.03955568,25.76044432
24510080700,baltimore,3378,47.46,62.06989976,-14.60989976
24510080800,baltimore,1923,32.05,44.70333243,-12.65333243
24510090100,baltimore,4232,54.95,19.01923598,35.93076402
24510090200,baltimore,3507,48.65,33.36494175,15.28505825
