city,code,code_type,full_name,standard_category
charlotte,UE,current_code_flat,Uptown Edge Zoning District,mixed-use
charlotte,UC,current_code_flat,Uptown Core Zoning District,mixed-use
charlotte,TOD-UC,current_code_flat,Transit Urban Center Zoning District,mixed-use
charlotte,TOD-NC,current_code_flat,Transit Neighborhood Center Zoning District,mixed-use
charlotte,TOD-CC,current_code_flat,Transit Community Center Zoning District,mixed-use
charlotte,TOD-TR,current_code_flat,Transit Transition Zoning District,mixed-use
charlotte,MHP,current_code_flat,Manufactured Home Park District,residential
charlotte,HDO,overlay_not_base,Historic District Overlay,other
charlotte,HDO-S,overlay_not_base,Streetside Historic District Overlay,other
charlotte,NCO,overlay_not_base,Neighborhood Character Overlay District,other
charlotte,RIO,overlay_not_base,Residential Infill Overlay District,other
charlotte,CCO,overlay_not_base,Cottage Court Overlay District,other
charlotte,MHO,overlay_not_base,Manufactured Home Overlay,other
charlotte,ANDO,overlay_not_base,Airport Noise Disclosure Overlay,other
san_francisco,P,current_code_flat,Public,institutional
san_francisco,RH-1,current_code_flat,Residential House One Family (One Unit Per Lot),residential
san_francisco,RH-1(D),current_code_flat,Residential House One Family Detached,residential
san_francisco,RH-1(S),current_code_flat,Residential House One Family Secondary Unit,residential
san_francisco,RH-2,current_code_flat,Residential House Two Family,residential
san_francisco,RH-3,current_code_flat,Residential House Three Family,residential
san_francisco,RM-1,current_code_flat,Residential Mixed Low Density,residential
san_francisco,RM-2,current_code_flat,Residential Mixed Moderate Density,residential
san_francisco,RM-3,current_code_flat,Residential Mixed Medium Density,residential
san_francisco,RM-4,current_code_flat,Residential Mixed High Density,residential
san_francisco,RC-3,current_code_flat,Residential-Commercial Combined Medium Density,mixed-use
san_francisco,RC-4,current_code_flat,Residential-Commercial Combined High Density,mixed-use
san_francisco,RTO-M,current_code_flat,Residential Transit Oriented Mission,residential
san_francisco,RH-DTR,current_code_flat,Rincon Hill Downtown Residential,residential
san_francisco,SB-DTR,current_code_flat,South Beach Downtown Residential,residential
san_francisco,TB-DTR,current_code_flat,Transbay Downtown Residential,residential
san_francisco,NC-1,current_code_flat,Neighborhood Commercial Cluster,commercial
san_francisco,NC-2,current_code_flat,Neighborhood Commercial Small Scale,commercial
san_francisco,NC-3,current_code_flat,Neighborhood Commercial Moderate Scale,commercial
san_francisco,NC-S,current_code_flat,Neighborhood Commercial Shopping Center,commercial
san_francisco,NCD-24th-Noe-Valley,current_code_flat,24th Street-Noe Valley Neighborhood Commercial,commercial
san_francisco,NCD-Broadway,current_code_flat,Broadway Neighborhood Commercial,commercial
san_francisco,NCD-Castro,current_code_flat,Castro Street Neighborhood Commercial,commercial
san_francisco,NCD-Excelsior,current_code_flat,Excelsior Outer Mission Street Neighborhood Commercial District,commercial
san_francisco,NCD-Haight,current_code_flat,Haight Street Neighborhood Commercial,commercial
san_francisco,NCD-Inner Clement,current_code_flat,Inner Clement Street Neighborhood Commercial,commercial
san_francisco,NCD-Inner Sunset,current_code_flat,Inner Sunset Neighborhood Commercial,commercial
san_francisco,NCD-Irving,current_code_flat,Irving Street Neighborhood Commercial District,commercial
san_francisco,NCD-Japantown,current_code_flat,Japantown Neighborhood Commercial District,commercial
san_francisco,NCD-Judah,current_code_flat,Judah Street Neighborhood Commercial District,commercial
san_francisco,NCD-Noriega,current_code_flat,Noriega Street Neighborhood Commercial District,commercial
san_francisco,NCD-North Beach,current_code_flat,North Beach Neighborhood Commercial,commercial
san_francisco,NCD-Outer Clement,current_code_flat,Outer Clement Street Neighborhood Commercial,commercial
san_francisco,NCD-Pacific,current_code_flat,Pacific Avenue Neighborhood Commercial,commercial
san_francisco,NCD-Polk,current_code_flat,Polk Street Neighborhood Commercial,commercial
san_francisco,NCD-Sacramento,current_code_flat,Sacramento Street Neighborhood Commercial,commercial
san_francisco,NCD-Taraval,current_code_flat,Taraval Street Neighborhood Commercial District,commercial
san_francisco,NCD-Union,current_code_flat,Union Street Neighborhood Commercial,commercial
san_francisco,NCD-Upper Fillmore,current_code_flat,Upper Fillmore Neighborhood Commercial District,commercial
san_francisco,NCD-Upper Market,current_code_flat,Upper Market Street Neighborhood Commercial,commercial
san_francisco,NCD-West Portal,current_code_flat,West Portal Avenue Neighborhood Commercial,commercial
san_francisco,NCT-1,current_code_flat,Neighborhood Commercial Transit 1,commercial
san_francisco,NCT-2,current_code_flat,Neighborhood Commercial Transit-2,commercial
san_francisco,NCT-3,current_code_flat,Moderate Scale Neighborhood Commercial Transit District,commercial
san_francisco,NCT-24th-Mission,current_code_flat,24th-Mission Neighborhood Commercial Transit,commercial
san_francisco,NCT-Divisadero,current_code_flat,Divisadero Street Neighborhood Commercial Transit District,commercial
san_francisco,NCT-Fillmore,current_code_flat,Fillmore Street Neighborhood Commercial Transit District,commercial
san_francisco,NCT-Folsom,current_code_flat,Folsom Street Neighborhood Commercial Transit,commercial
san_francisco,NCT-Glen Park,current_code_flat,Glen Park Neighborhood Commercial Transit,commercial
san_francisco,NCT-Hayes,current_code_flat,Hayes Neighborhood Commercial Transit,commercial
san_francisco,NCT-Mission,current_code_flat,Mission Street Neighborhood Commercial Transit,commercial
san_francisco,NCT-Ocean,current_code_flat,Ocean Avenue Neighborhood Commercial Transit,commercial
san_francisco,NCT-Soma,current_code_flat,Soma Neighborhood Commercial Transit,commercial
san_francisco,NCT-Upper Market,current_code_flat,Upper Market Neighborhood Commercial Transit,commercial
san_francisco,NCT-Valencia,current_code_flat,Valencia Street Neighborhood Commercial Transit,commercial
san_francisco,CRNC,current_code_flat,Chinatown Residential-Neighborhood Commercial,mixed-use
san_francisco,CVR,current_code_flat,Chinatown Visitor Retail,mixed-use
san_francisco,CCB,current_code_flat,Chinatown Community Business,mixed-use
san_francisco,PM-MU1,current_code_flat,Parkmerced Mixed Use-Social Heart,mixed-use
san_francisco,PM-MU2,current_code_flat,Parkmerced Mixed Use-Neighborhood Commons,mixed-use
san_francisco,PM-S,current_code_flat,Parkmerced School,institutional
san_francisco,PM-CF,current_code_flat,Parkmerced Community/Fitness,institutional
san_francisco,PM-OS,current_code_flat,Parkmerced Open Space,open_space
san_francisco,PM-R,current_code_flat,Parkmerced Residential,residential
san_francisco,SPD,current_code_flat,SoMa-South Park,mixed-use
san_francisco,RED,current_code_flat,South of Market Residential Enclave,residential
san_francisco,RED-MX,current_code_flat,Residential Enclave Mixed Use,mixed-use
san_francisco,RSD,current_code_flat,Residential/Service,mixed-use
san_francisco,SLI,current_code_flat,SoMa Service/Light Industrial,industrial
san_francisco,SALI,current_code_flat,Service/Arts/Light Industrial,industrial
san_francisco,SSO,current_code_flat,SoMa Service/Secondary Office,commercial
san_francisco,MUG,current_code_flat,Mixed Use-General,mixed-use
san_francisco,WMUG,current_code_flat,Western SoMa Mixed Use-General,mixed-use
